Year;Group;Species;Temperature;Replicate;Date;Germinated seeds;Germinated seeds per replicate
2019;Bengu‚ Falconnier Giordan;albidus;Controle;1+2;03/04/2019;0;0
2019;Bengu‚ Falconnier Giordan;albidus;100;1;18/02/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;100;1;04/03/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;100;1;18/03/2019;2;2
2019;Bengu‚ Falconnier Giordan;albidus;100;1;01/04/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;100;1;03/04/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;100;2;22/02/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;100;2;04/03/2019;2;2
2019;Bengu‚ Falconnier Giordan;albidus;100;2;06/03/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;100;2;18/03/2019;2;2
2019;Bengu‚ Falconnier Giordan;albidus;100;2;03/04/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;120;1;11/03/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;120;1;01/04/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;120;2;04/03/2019;3;3
2019;Bengu‚ Falconnier Giordan;albidus;120;2;11/03/2019;1;1
2019;Bengu‚ Falconnier Giordan;albidus;120;2;18/03/2019;2;2
2019;Bengu‚ Falconnier Giordan;albidus;150;1;03/04/2019;0;0
2019;Bengu‚ Falconnier Giordan;albidus;150;2;03/04/2019;0;0
2019;Bacot / Bert / Brunet;salviifolius;Controle;1;08/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;Controle;1;11/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;Controle;2;11/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;100;1;07/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;100;1;08/02/2019;2;2
2019;Bacot / Bert / Brunet;salviifolius;100;1;14/02/2019;3;3
2019;Bacot / Bert / Brunet;salviifolius;100;1;15/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;100;1;18/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;100;2;11/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;100;2;14/02/2019;3;3
2019;Bacot / Bert / Brunet;salviifolius;100;2;18/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;100;2;28/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;100;2;12/03/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;120;1;18/02/2019;2;2
2019;Bacot / Bert / Brunet;salviifolius;120;1;28/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;120;2;14/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;120;2;15/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;120;2;18/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;120;2;21/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;120;2;28/02/2019;1;1
2019;Bacot / Bert / Brunet;salviifolius;150;1+2;03/04/2019;0;0
2019;AYZAC / BAISSET / BOZON;salviifolius;Controle;1;02/07/2019;1;1
2019;AYZAC / BAISSET / BOZON;salviifolius;Controle;1;15/02/2019;1;1
2019;AYZAC / BAISSET / BOZON;salviifolius;Controle;2;19/02/2019;1;1
2019;AYZAC / BAISSET / BOZON;salviifolius;Controle;2;18/03/2019;1;1
